CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
41029000700,Oregon,Jackson,9597,4759,4838,11.5,79.2,1.1,1.1,1.0,0.0,6603,46798.0,7901.0,22114.0,2238.0,23.7,39.1,26.5,22.5,33.3,10.6,7.2,84.3,9.2,1.4,0.0,0.4,4.7,16.5,4110,77.7,13.2,9.1,0.0,12.0
41029000800,Oregon,Jackson,5951,2851,3100,13.1,79.6,2.9,0.9,0.7,0.0,4429,42177.0,4731.0,21967.0,3025.0,22.4,29.0,27.8,21.0,19.8,15.1,16.4,78.3,7.6,2.3,1.9,0.4,9.4,14.9,2342,81.2,8.9,9.9,0.0,12.4
41029000900,Oregon,Jackson,8437,4153,4284,15.1,80.2,0.5,0.0,0.0,0.7,6163,53661.0,13309.0,27667.0,3163.0,11.5,11.7,33.4,17.4,27.9,8.9,12.4,78.0,6.8,3.2,1.0,3.3,7.8,18.3,3537,74.0,18.3,7.6,0.0,11.3
41029001001,Oregon,Jackson,6346,3000,3346,5.1,92.9,0.0,0.6,0.0,0.0,4759,45456.0,5029.0,21218.0,1963.0,13.5,21.8,27.7,22.3,28.9,7.0,14.0,82.3,8.5,1.2,1.9,1.2,4.9,14.3,2875,79.5,12.6,7.3,0.7,4.7
41029001002,Oregon,Jackson,4564,2358,2206,13.1,80.3,0.0,2.2,1.7,0.0,3005,50304.0,10839.0,18419.0,1896.0,16.9,28.3,33.7,26.3,17.7,8.7,13.6,83.9,6.5,0.0,2.8,0.9,5.8,15.7,1985,80.6,13.4,6.1,0.0,6.6
41029001100,Oregon,Jackson,5307,2432,2875,9.2,84.9,0.0,0.2,0.0,0.5,3761,44907.0,14948.0,24530.0,3584.0,10.4,12.9,27.9,17.2,24.0,12.6,18.3,74.4,15.3,0.0,0.9,0.2,9.2,16.2,2256,75.4,15.9,8.8,0.0,13.6
41029001200,Oregon,Jackson,4257,2090,2167,18.6,78.5,0.0,0.3,1.0,0.0,3085,44123.0,4518.0,21196.0,4425.0,25.6,42.2,22.2,24.3,32.4,8.5,12.5,77.7,10.7,0.0,0.0,2.7,8.8,13.7,1890,81.1,7.9,11.0,0.0,8.7
41029001301,Oregon,Jackson,5945,3191,2754,18.7,73.1,0.2,0.3,0.3,0.3,4323,47742.0,6314.0,18465.0,2404.0,24.0,26.2,19.5,22.9,22.0,11.5,24.2,73.2,13.0,3.8,2.4,3.9,3.8,18.8,2443,80.6,11.1,8.4,0.0,11.1
41029001302,Oregon,Jackson,10022,5048,4974,26.5,66.1,1.2,0.6,2.3,0.0,6991,53885.0,5845.0,27664.0,5833.0,10.4,6.8,26.6,25.4,21.1,8.2,18.7,76.3,16.8,0.0,1.4,1.8,3.8,19.0,4721,76.8,15.0,8.0,0.2,10.4
41029001400,Oregon,Jackson,9926,4818,5108,6.4,85.4,0.0,1.1,0.9,0.0,7401,58228.0,11671.0,25214.0,3623.0,19.6,39.4,28.6,21.4,24.5,8.7,16.8,78.6,8.2,2.3,1.6,0.6,8.8,28.6,4263,74.1,19.6,6.3,0.0,11.3
